y_true,y_pred,prob_class_Bundesliga,prob_class_Bundesliga 2,prob_class_EFL Championship,prob_class_LaLiga,prob_class_LaLiga 2,prob_class_Ligue 1,prob_class_Ligue 2,prob_class_Premier League,prob_class_Serie A,prob_class_Serie B,erreur,pays_true,pays_pred,meme_pays
EFL Championship,Premier League,0.0014230634018358,0.0587388826690539,0.2933986618103223,0.009517904342657,0.0185145222478585,0.0051947084407892,0.0097986849251578,0.4566485250119098,0.0750482390610657,0.0717168080893497,True,Angleterre,Angleterre,True
Premier League,EFL Championship,0.004562803875822,0.0069728042118529,0.7622449646493885,0.0058183913952905,0.0002036609144555,0.0030180269210237,0.0005687948914911,0.2125850096712828,0.0038104334086145,0.000215110060778,True,Angleterre,Angleterre,True
Premier League,EFL Championship,0.0874394223262734,0.029761597152514,0.4873380106773012,0.0484288967193775,0.0093932957576194,0.0317603737440519,0.0040554718115942,0.2397441554443526,0.0421004051657894,0.0199783712011259,True,Angleterre,Angleterre,True
Bundesliga 2,EFL Championship,0.0081938547096149,0.1689072538865865,0.3024103080740979,0.0018476477189748,0.0799852712631861,0.0021235699383235,0.2805457575475262,0.0181460243795342,0.0323226485007143,0.1055176639814412,True,Allemagne,Angleterre,False
LaLiga,EFL Championship,0.0060961857051143,0.0045551072442365,0.5012610881843537,0.0649017142241371,0.0736056780655405,0.0256412055784063,0.0095145644863952,0.3025955530785513,0.0062737618798312,0.0055551415534334,True,Espagne,Angleterre,False
Premier League,EFL Championship,0.0553979179403981,0.0226738720842429,0.7383746976710203,0.0015493056503209,0.0003846660980518,0.0043105297430428,0.0005550020325325,0.1582310276236225,0.0166227478720602,0.0019002332847078,True,Angleterre,Angleterre,True
Bundesliga,EFL Championship,0.1444013581468077,0.040653972148905,0.3404613699259664,0.1031995127738603,0.0071036216643718,0.1395780465366884,0.1008569468335221,0.1047956387924708,0.0129558663429151,0.0059936668344919,True,Allemagne,Angleterre,False
Premier League,EFL Championship,0.01480825252725,0.0178677632771072,0.4570129012826162,0.0183972853688085,0.0037272597674115,0.0038025159160131,0.0061542818676495,0.4212254193853844,0.0152562874093278,0.0417480331984316,True,Angleterre,Angleterre,True
Serie B,LaLiga 2,0.0003836539465262,0.1376744317513119,0.0470414201130208,0.0119586977442921,0.7041058520289782,0.0101499399518958,0.0055802748522085,0.0014524360487026,0.0137393400555349,0.0679139535075285,True,Italie,Espagne,False
Ligue 2,EFL Championship,0.0007595389040108,0.0085800189077551,0.7275770548256185,0.0009135691706055,0.0047860026230542,0.0121623085803154,0.0650351344369581,0.1529124410631429,0.012757017907857,0.0145169135806821,True,France,Angleterre,False
