y_true,y_pred,prob_class_Bundesliga,prob_class_Bundesliga 2,prob_class_EFL Championship,prob_class_LaLiga,prob_class_LaLiga 2,prob_class_Ligue 1,prob_class_Ligue 2,prob_class_Premier League,prob_class_Serie A,prob_class_Serie B,erreur,pays_true,pays_pred,meme_pays
LaLiga 2,LaLiga,0.005977432,0.006243867,0.042790454,0.46817464,0.4091795,0.0029769677,9.438267e-05,0.06276065,0.0012603712,0.0005417055,True,Espagne,Espagne,True
Serie B,Serie A,0.009032764,0.0020872874,0.023074264,0.0061904914,0.030344391,0.2032331,0.02757517,0.04191521,0.49026638,0.16628094,True,Italie,Italie,True
Premier League,EFL Championship,0.00016657627,0.011992174,0.56877124,0.00010808399,0.0015580126,0.0004622287,0.0008734413,0.41397294,0.0015910069,0.0005042944,True,Angleterre,Angleterre,True
Bundesliga 2,EFL Championship,0.036088623,0.17743449,0.7535517,0.0002000015,0.004437377,0.0022866498,0.0011131993,0.022311695,0.0019005007,0.0006756923,True,Allemagne,Angleterre,False
LaLiga,LaLiga 2,0.004438236,0.00093802385,0.0016575385,0.27219835,0.6885182,0.003970103,0.0034425517,0.0067873346,0.0017876822,0.01626196,True,Espagne,Espagne,True
Premier League,EFL Championship,9.4405055e-05,0.0064319684,0.81247014,0.00013402458,0.00018078717,0.00030573475,0.0001328561,0.17924415,0.0009034094,0.000102531936,True,Angleterre,Angleterre,True
LaLiga,LaLiga 2,0.0013799076,0.0064849914,0.0017280804,0.4443728,0.5208681,0.004262851,8.702649e-05,0.0068141054,0.010687086,0.003315022,True,Espagne,Espagne,True
Ligue 2,EFL Championship,0.002175687,0.0024429248,0.683026,0.0014820655,0.0042089038,0.048295543,0.25168636,0.0030202966,0.0014101652,0.002252007,True,France,Angleterre,False
LaLiga 2,Ligue 1,0.0056384904,0.008960651,0.0028352933,0.029325228,0.30839682,0.46539602,0.0011996335,0.0021596493,0.1673916,0.00869666,True,Espagne,France,False
Ligue 2,Ligue 1,0.002323213,0.0020626553,0.03382185,0.020223731,0.008052508,0.75148165,0.16688253,0.010399831,0.002188432,0.002563548,True,France,France,True
EFL Championship,Premier League,0.029490337,0.00724233,0.09631598,0.01135859,0.0042957636,0.0021244735,0.0002449622,0.84792024,0.0008516708,0.00015562981,True,Angleterre,Angleterre,True
LaLiga,EFL Championship,0.0031069624,0.02107683,0.6346399,0.1370748,0.058472596,0.0045898706,0.0010480525,0.13873146,0.0008818621,0.00037766967,True,Espagne,Angleterre,False
Serie A,Serie B,0.0071210396,0.011132956,0.0019099482,0.00053150184,0.01336277,0.0020132905,0.0003700376,0.00073019817,0.3728057,0.59002256,True,Italie,Italie,True
Serie B,Serie A,0.00047098432,0.0039569917,0.00046725268,0.012063835,0.027459359,0.0025275669,0.00014555856,0.0059368517,0.703034,0.24393763,True,Italie,Italie,True
LaLiga 2,EFL Championship,0.0035965212,0.04676775,0.74877566,0.0007560995,0.13030757,0.002184421,0.005190306,0.048567917,0.010197887,0.0036558383,True,Espagne,Angleterre,False
LaLiga,LaLiga 2,0.0014365538,0.0030401608,0.0015910696,0.3619182,0.61559004,0.0049952394,0.00025778203,0.0013394381,0.0071811522,0.0026503226,True,Espagne,Espagne,True
EFL Championship,Premier League,0.00031378254,0.0038139767,0.36784077,0.00042676745,0.0059162057,0.0016748497,0.002998616,0.5818799,0.004369594,0.030765567,True,Angleterre,Angleterre,True
LaLiga 2,LaLiga,0.00023755741,0.00027501903,0.0021018418,0.59991735,0.39176357,0.0003085612,0.0018934835,0.00032142372,0.00028164536,0.0028995667,True,Espagne,Espagne,True
EFL Championship,Premier League,0.049456593,0.011987726,0.09228005,0.03913754,0.01505179,0.0063579665,0.0017572553,0.7772964,0.0051555745,0.0015190636,True,Angleterre,Angleterre,True
Premier League,EFL Championship,5.940317e-05,0.029092127,0.6516116,0.00060523057,0.007424296,0.0007438147,0.0017668445,0.29989937,0.006521425,0.0022758537,True,Angleterre,Angleterre,True
EFL Championship,Premier League,0.0015560903,0.0013052402,0.1297246,0.0011510348,0.0005116825,0.0010755988,0.00092115323,0.8636579,2.8201055e-05,6.8480316e-05,True,Angleterre,Angleterre,True
LaLiga 2,LaLiga,0.00018691318,0.0005743786,0.0036700678,0.964471,0.028800333,0.0006243174,0.0008414202,0.00023627319,0.00023281407,0.00036245247,True,Espagne,Espagne,True
EFL Championship,Premier League,0.00094416057,0.0011526602,0.19922282,0.0019770185,0.00034465184,0.0016301688,4.8886246e-05,0.7934462,0.0011774234,5.60514e-05,True,Angleterre,Angleterre,True
